bag_time_ns,data
1669703463016621568,0.224780291
1669703463036944128,0.228072643
1669703463056553472,0.228217185
1669703463075821568,0.222565845
1669703463096481024,0.222491279
1669703463116239104,0.222415656
1669703463137913856,0.226120695
1669703463157827072,0.226180136
1669703463177627136,0.223872870
1669703463197919488,0.223839343
1669703463217092352,0.223804340
1669703463237527552,0.228057116
1669703463256010496,0.228182599
1669703463277502208,0.224888965
1669703463296275712,0.224882841
1669703463316664576,0.224874780
1669703463338415360,0.229803085
1669703463355949056,0.229979172
1669703463376433408,0.230011374
1669703463396978176,0.230178550
1669703463416155904,0.230345801
1669703463436380160,0.233794436
1669703463456558592,0.234083742
1669703463475939840,0.236877814
1669703463496423680,0.237261832
1669703463516766464,0.237649187
1669703463538437376,0.231417537
1669703463555918848,0.231562063
1669703463576887808,0.220837206
1669703463597036800,0.220567361
1669703463616090112,0.220297024
1669703463636793088,0.217757195
1669703463656571392,0.217405602
1669703463676162560,0.218278468
1669703463696683008,0.217976466
1669703463716221440,0.217674330
1669703463738382336,0.220910430
1669703463756976128,0.220739037
1669703463776828928,0.215396166
1669703463796334848,0.215031132
1669703463815881728,0.214667514
1669703463836096512,0.215816379
1669703463856376320,0.215509340
1669703463876700160,0.214633077
1669703463896271616,0.214303538
1669703463916722176,0.213974252
1669703463938426112,0.223615542
1669703463956003584,0.223658055
1669703463976498176,0.219768226
1669703463997624320,0.219664410
1669703464016342016,0.219561070
1669703464036748544,0.224898502
1669703464056016384,0.224997193
1669703464076976128,0.221709728
1669703464096089600,0.221675202
1669703464116738304,0.221638545
1669703464138477568,0.224151835
1669703464156950272,0.224212155
1669703464176884992,0.220077902
1669703464196416000,0.219977126
1669703464216523264,0.219879478
1669703464236026368,0.223202169
1669703464256726016,0.223230034
1669703464276382976,0.224367589
1669703464296529152,0.224432305
1669703464315929600,0.224498034
1669703464338633984,0.230563819
1669703464355950592,0.230851576
1669703464376794880,0.221707284
1669703464396188416,0.221638709
1669703464416859136,0.221570820
1669703464436339968,0.227611214
1669703464456818176,0.227770999
1669703464476420096,0.220619991
1669703464495910656,0.220500991
1669703464516287232,0.220382586
1669703464538043136,0.228831455
1669703464556164608,0.229032815
1669703464577036544,0.226712465
1669703464597097728,0.226818904
1669703464616747264,0.226924464
1669703464636480768,0.231660932
1669703464656595712,0.231940210
1669703464676018432,0.231738731
1669703464696444928,0.231999025
1669703464715847936,0.232257560
1669703464738666496,0.234962448
1669703464756958976,0.235312790
1669703464776680960,0.239393309
1669703464796515328,0.239881918
1669703464816869888,0.240367472
1669703464836382720,0.235346213
1669703464856592128,0.235627055
1669703464875918848,0.228425682
1669703464896682240,0.228426680
1669703464916016896,0.228426591
1669703464938782464,0.223867938
1669703464956019712,0.223693907
1669703464976637952,0.226223558
1669703464996182528,0.226155967
1669703465016861184,0.226088509
1669703465036791040,0.221418038
1669703465056377344,0.221180335
1669703465076063744,0.220761701
1669703465096816640,0.220515370
1669703465116123648,0.220268011
1669703465138305024,0.220917672
1669703465156629504,0.220703140
1669703465176254976,0.220093653
1669703465197054976,0.219861269
1669703465216801792,0.219629571
1669703465236481792,0.223187864
1669703465256191232,0.223101288
1669703465275950848,0.223282814
1669703465296439808,0.223206520
1669703465315963648,0.223130405
1669703465337906944,0.225776002
1669703465356292096,0.225798652
1669703465376851456,0.221145168
1669703465396491776,0.220988393
1669703465416780544,0.220832840
1669703465436810496,0.225162372
1669703465456184320,0.225173563
1669703465475877120,0.223873928
1669703465496439040,0.223833412
1669703465516046592,0.223792613
1669703465538716416,0.228630722
1669703465556144896,0.228768319
1669703465576786176,0.223960578
1669703465596379392,0.223910168
1669703465617066496,0.223861456
1669703465636756480,0.230456918
1669703465656544256,0.230656445
1669703465676616192,0.226157367
1669703465696746496,0.226179495
1669703465716225024,0.226201445
1669703465738344960,0.231036082
1669703465756632064,0.231234357
1669703465776390656,0.226374894
1669703465796918272,0.226383641
1669703465816021248,0.226391584
1669703465836439552,0.228604943
1669703465855917824,0.228688806
1669703465876594944,0.225551352
1669703465896424704,0.225515783
1669703465916403200,0.225479990
1669703465938235648,0.225625798
1669703465956943616,0.225594431
1669703465976670976,0.225696310
1669703465996768512,0.225668803
1669703466015881984,0.225641012
1669703466036835584,0.222649783
1669703466056543488,0.222515672
1669703466076268800,0.229488179
1669703466096577792,0.229621440
1669703466115935232,0.229754388
1669703466138605312,0.226113677
1669703466156313856,0.226103365
1669703466176814848,0.224187732
1669703466196247296,0.224104583
1669703466216963584,0.224024683
1669703466236545280,0.224261343
1669703466256913664,0.224192530
1669703466276465152,0.221375853
1669703466296039168,0.221202403
1669703466316577792,0.221026495
1669703466338125312,0.218423277
1669703466356389888,0.218153343
1669703466375995136,0.218848363
1669703466397260544,0.218616441
1669703466416485376,0.218384415
1669703466436951552,0.220869258
1669703466456203520,0.220739931
1669703466477898496,0.219780609
1669703466496357632,0.219618425
1669703466516679936,0.219456822
1669703466538824960,0.222176135
1669703466556704768,0.222124144
1669703466576166400,0.221819803
1669703466596641536,0.221757233
1669703466615952128,0.221693441
1669703466636887296,0.227725253
1669703466656048640,0.227885887
1669703466676531200,0.221915454
1669703466696098560,0.221844286
1669703466716390144,0.221774966
1669703466738206464,0.228945389
1669703466756465408,0.229143798
1669703466776261888,0.226142779
1669703466797398528,0.226218045
1669703466816046592,0.226295307
1669703466836193024,0.233132988
1669703466856384768,0.233461797
1669703466876664576,0.226523176
1669703466896174592,0.226572707
1669703466916907776,0.226620808
1669703466938250496,0.228840396
1669703466956778240,0.228967831
1669703466976919552,0.230637312
1669703466996145152,0.230819359
1669703467016592384,0.231001750
1669703467036227072,0.232941389
1669703467055924736,0.233187914
1669703467075764224,0.225508824
1669703467096093184,0.225455686
1669703467116604160,0.225402266
1669703467137961984,0.225520536
1669703467156172288,0.225473985
1669703467176829440,0.226785004
1669703467196747264,0.226788521
1669703467216903168,0.226790503
1669703467236826112,0.226288497
1669703467256616704,0.226272523
1669703467276129536,0.232630819
1669703467296732160,0.232855856
1669703467316084736,0.233081639
1669703467337468672,0.225920901
1669703467356921088,0.225871369
1669703467376865280,0.231147379
1669703467396062976,0.231297806
1669703467416710144,0.231448293
1669703467436193792,0.226859316
1669703467455847424,0.226832926
1669703467476651008,0.229211569
1669703467496202240,0.229275927
1669703467516414208,0.229337946
1669703467537816320,0.223821908
1669703467556472832,0.223675579
1669703467576086272,0.219075337
1669703467597555456,0.218758970
1669703467616301312,0.218441337
1669703467636284416,0.219309613
1669703467656156928,0.219030812
1669703467677741056,0.219796821
1669703467696148992,0.219555229
1669703467716310016,0.219312355
1669703467738093824,0.221180439
1669703467756495616,0.221011877
1669703467776744960,0.219151303
1669703467796137216,0.218919843
1669703467816573440,0.218689784
1669703467836384768,0.222821549
1669703467856701696,0.222753063
1669703467876216064,0.219599232
1669703467896601088,0.219413787
1669703467915909888,0.219227895
1669703467937715968,0.226840824
1669703467955981312,0.226944864
1669703467976898304,0.224323392
1669703467996098048,0.224323452
1669703468016553216,0.224324465
1669703468036710144,0.228392482
1669703468056839680,0.228544161
1669703468076036608,0.224526539
1669703468096457728,0.224520862
1669703468116697600,0.224516153
1669703468137964544,0.230275989
1669703468156238592,0.230486602
1669703468177220096,0.221328497
1669703468195891712,0.221181050
1669703468216302592,0.221034616
1669703468235879424,0.222842544
1669703468256354304,0.222771481
1669703468277741312,0.223814011
1669703468296476416,0.223781496
1669703468316085504,0.223747924
1669703468337792512,0.230482891
1669703468356158976,0.230701104
1669703468377177600,0.232860148
1669703468396546304,0.233148739
1669703468415958528,0.233437911
1669703468436861184,0.224511728
1669703468456710400,0.224451736
1669703468476214272,0.226339906
1669703468496649984,0.226349026
1669703468516226304,0.226360977
1669703468538540032,0.223085165
1669703468556137216,0.222975284
1669703468576813312,0.232758477
1669703468597970688,0.233019322
1669703468616246272,0.233281225
1669703468636763136,0.226769611
1669703468656144384,0.226779893
1669703468677243392,0.230491847
1669703468696382208,0.230642423
1669703468716758528,0.230794087
1669703468737824256,0.222890601
1669703468756188160,0.222740710
1669703468777547008,0.228330150
1669703468796827904,0.228396744
1669703468816867072,0.228462353
1669703468836919296,0.224112749
1669703468856792064,0.224011719
1669703468876466432,0.219981492
1669703468895789056,0.219732702
1669703468916124928,0.219483331
1669703468938563328,0.220015407
1669703468956719616,0.219792873
1669703468976262144,0.220273986
1669703468996634368,0.220075771
1669703469016290560,0.219877645
1669703469036528384,0.224645779
1669703469055873536,0.224632025
1669703469076563712,0.221757650
1669703469096832512,0.221635669
1669703469116038912,0.221512362
1669703469137702656,0.228636056
1669703469156143360,0.228775650
1669703469176745984,0.222805619
1669703469196046592,0.222711444
1669703469216840960,0.222618237
1669703469236243712,0.230402768
1669703469256917760,0.230597466
1669703469276519168,0.224292040
1669703469295866368,0.224236399
1669703469316194048,0.224180862
1669703469337929728,0.228112489
1669703469356251648,0.228203937
1669703469376756736,0.228992954
1669703469397086976,0.229110599
1669703469416747520,0.229228944
1669703469435950336,0.227693558
1669703469456624384,0.227753073
1669703469476146944,0.228082940
1669703469496870400,0.228148624
1669703469516455424,0.228212744
1669703469538478848,0.227708384
1669703469555910912,0.227753609
1669703469576456192,0.229240030
1669703469596619776,0.229339138
1669703469616769024,0.229438245
1669703469635897600,0.228314862
1669703469656105216,0.228368312
1669703469676805376,0.231882542
1669703469696000512,0.232065126
1669703469716601344,0.232246503
1669703469738166016,0.221725836
1669703469756750592,0.221510783
1669703469776702208,0.231187537
1669703469796075008,0.231343731
1669703469816386816,0.231499702
1669703469836387840,0.226886138
1669703469855961600,0.226868331
1669703469876307200,0.229854807
1669703469896976896,0.229950652
1669703469916448512,0.230046943
1669703469937815552,0.224269316
1669703469956537600,0.224145934
1669703469976166144,0.224774256
1669703469996821504,0.224679604
1669703470015957504,0.224584252
1669703470036926208,0.223195404
1669703470056397056,0.223053515
1669703470076923904,0.226076260
1669703470096291072,0.226052314
1669703470116744704,0.226028875
1669703470138697472,0.222814471
1669703470155889152,0.222675398
1669703470176407296,0.219352588
1669703470197040384,0.219094321
1669703470216226560,0.218837351
1669703470236751616,0.219699427
1669703470256342784,0.219487384
1669703470276702464,0.219575047
1669703470296171008,0.219371617
1669703470316630528,0.219165757
1669703470337855744,0.221276924
1669703470356373504,0.221153677
1669703470376217344,0.218769535
1669703470397281024,0.218557745
1669703470416114688,0.218345553
1669703470436323072,0.226397917
1669703470456549120,0.226496935
1669703470476731904,0.223515809
1669703470496457216,0.223498330
1669703470516757248,0.223480523
1669703470538502400,0.228603721
1669703470556681984,0.228782192
1669703470576115200,0.226523161
1669703470596835840,0.226610750
1669703470616198400,0.226696149
1669703470636650496,0.225359008
1669703470656007936,0.225392118
1669703470676634368,0.225844860
1669703470695789056,0.225895613
1669703470716325376,0.225946978
1669703470737539584,0.221848980
1669703470756210432,0.221747249
1669703470775882496,0.226906046
1669703470796392192,0.227001041
1669703470816790016,0.227094844
1669703470836271360,0.224931836
1669703470855702528,0.224935293
1669703470876132352,0.229182571
1669703470896741632,0.229347214
1669703470916102144,0.229513317
1669703470937775616,0.232241794
1669703470956238848,0.232504025
1669703470976160768,0.230731592
1669703470996392192,0.230915263
1669703471016784128,0.231101245
1669703471036300032,0.226234168
1669703471055934720,0.226236627
1669703471076481536,0.227868602
1669703471096727040,0.227928966
1669703471116037120,0.227988541
1669703471137865728,0.222062036
1669703471156126464,0.221897334
1669703471176975360,0.224336177
1669703471196262400,0.224274233
1669703471216298752,0.224213272
1669703471236686080,0.221954077
1669703471256212224,0.221810788
1669703471276998400,0.221967235
1669703471296133888,0.221835732
1669703471316659456,0.221702710
1669703471338117120,0.221932918
1669703471356439552,0.221813530
1669703471375979520,0.226270199
1669703471396168448,0.226322353
1669703471415590912,0.226374626
1669703471436210432,0.225104779
1669703471455791104,0.225109190
1669703471477506048,0.222612232
1669703471495812096,0.222520635
1669703471516137216,0.222428009
1669703471537930496,0.223604590
1669703471556672000,0.223560080
1669703471576957440,0.224233717
1669703471596653824,0.224220321
1669703471615852800,0.224208593
1669703471636510720,0.223992616
1669703471655865856,0.223974183
1669703471676972288,0.221499428
1669703471695742976,0.221383229
1669703471716137216,0.221265808
1669703471738564608,0.225511655
1669703471756706560,0.225555241
1669703471777002496,0.217491806
1669703471795978240,0.217226446
1669703471816648448,0.216960624
1669703471836537088,0.222014919
1669703471856066048,0.221946046
1669703471876833792,0.225911304
1669703471896673280,0.225993916
1669703471915947776,0.226075485
1669703471938497792,0.225711018
1669703471955723520,0.225775108
1669703471976263680,0.232131898
1669703471997300736,0.232434705
1669703472016288000,0.232737124
1669703472036151040,0.226721257
1669703472056274176,0.226788506
1669703472075966720,0.231346875
1669703472096617216,0.231586710
1669703472116088320,0.231827527
1669703472137864960,0.227959454
1669703472156354560,0.228045329
1669703472175731456,0.232462645
1669703472197006592,0.232714042
1669703472215735040,0.232963353
1669703472236025856,0.231518015
1669703472256691456,0.231702387
1669703472275766272,0.228925407
1669703472296140544,0.228998497
1669703472316669696,0.229072556
1669703472338179328,0.223144785
1669703472356604928,0.222993493
1669703472376275968,0.226020381
1669703472396171008,0.225985333
1669703472416527872,0.225950718
1669703472436021248,0.221556112
1669703472456528896,0.221360192
1669703472476148224,0.221587613
1669703472496641792,0.221408337
1669703472515804416,0.221229106
1669703472538135808,0.219712555
1669703472556492544,0.219484761
1669703472576169472,0.223134384
1669703472595981568,0.223052576
1669703472616049408,0.222969383
1669703472635797504,0.223237991
1669703472656404480,0.223167464
1669703472675868160,0.222192779
1669703472696585472,0.222087324
1669703472715941120,0.221981868
1669703472737568256,0.220921025
1669703472755984640,0.220784083
1669703472775992576,0.222781867
1669703472796173056,0.222726896
1669703472816415232,0.222671464
1669703472835625472,0.224456444
1669703472855763968,0.224468455
1669703472876258560,0.223598838
1669703472895757056,0.223575771
1669703472916254720,0.223550484
1669703472937700608,0.226741716
1669703472956377344,0.226834670
1669703472976026368,0.226650923
1669703472997977856,0.226728335
1669703473016078848,0.226805061
1669703473036696576,0.227220520
1669703473056353024,0.227313876
1669703473076008192,0.230445504
1669703473096426240,0.230653942
1669703473115906560,0.230864227
1669703473138115840,0.225621924
1669703473156591872,0.225632623
1669703473176271872,0.229432955
1669703473197487360,0.229592562
1669703473216287232,0.229752719
1669703473236774400,0.226830170
1669703473256878080,0.226872280
1669703473276111104,0.231890678
1669703473296401152,0.232119709
1669703473316044800,0.232347980
1669703473337901824,0.228124186
1669703473356398080,0.228188768
1669703473376215808,0.230690867
1669703473395839744,0.230849281
1669703473416379392,0.231007218
1669703473435752448,0.227936074
1669703473456264192,0.227974772
1669703473477678592,0.226896539
1669703473496050176,0.226895511
1669703473516659200,0.226894543
1669703473538062848,0.230599642
1669703473556555520,0.230738014
1669703473575772160,0.227156833
1669703473596216832,0.227154285
1669703473616591104,0.227150291
1669703473636616960,0.220865354
1669703473655948288,0.220617265
1669703473676663552,0.221773610
1669703473696121600,0.221581474
1669703473716308480,0.221403331
1669703473737719040,0.219761103
1669703473756190464,0.219522461
1669703473775739392,0.221318185
1669703473796094720,0.221164569
1669703473816503040,0.221005559
1669703473836219904,0.222190961
1669703473855689984,0.222071260
