1658228264363869440,-43.94830,-34.69276,23.97522,-0.23727,0.68689,-0.14737,-0.67094,
1658228265464911616,-41.98529,-27.00008,25.33016,-0.17791,0.68977,-0.16578,-0.68197,
1658228266761840640,-45.95117,-19.07030,24.19987,0.21521,-0.66650,0.23606,0.67360,
1658228270463683328,-49.67824,-12.00585,22.85013,-0.22423,0.67890,-0.23700,-0.65776,
1658228271062189056,-43.57418,-18.36615,23.17082,0.23724,-0.58977,0.25394,0.72897,
1658228271762203392,-34.94747,-17.78762,23.33237,-0.00882,-0.45686,0.27955,0.84442,
1658228272566398208,-28.04341,-13.34172,23.41106,-0.00752,-0.43589,0.27605,0.85659,
1658228273263642368,-20.08674,-15.33639,23.37770,0.02394,-0.40567,0.23046,0.88416,
1658228274163156992,-11.49005,-15.63398,23.38002,0.00175,-0.38838,0.26546,0.88244,
1658228275262714368,-3.46822,-19.14420,23.30295,0.00088,-0.34635,0.33124,0.87768,
1658228277162533888,4.71592,-18.73892,23.28183,-0.01768,-0.35430,0.22611,0.90721,
1658228280263374336,9.06633,-25.72592,23.15780,0.09277,-0.33619,0.09516,0.93237,
1658228284660154624,13.21726,-32.79515,22.96083,0.07927,-0.30317,0.14794,0.93804,
1658228291362493184,20.53182,-28.16420,23.10506,-0.03027,-0.30790,0.44243,0.84175,
1658228291963299840,21.81810,-19.80667,23.26448,-0.04138,-0.27133,0.64125,0.71657,
1658228293961324800,19.87363,-28.02484,23.18517,0.05122,-0.25914,0.66670,0.69695,
1658228294563687168,16.35476,-36.21907,23.04019,0.13743,-0.17427,0.70594,0.67260,
1658228295163442432,12.06355,-43.41302,22.87672,0.22388,-0.39321,0.29162,0.84275,
1658228295961001216,6.12410,-49.09623,22.77015,0.24368,-0.38578,0.30107,0.83735,
1658228296860602880,-1.68942,-54.36907,22.68810,0.38944,-0.38090,0.31009,0.77916,
1658228297760015616,-9.14916,-58.24326,22.60891,0.29887,-0.37966,0.32062,0.81470,
1658228298861272576,-18.34240,-60.13501,22.58052,0.42941,-0.41367,0.31550,0.73820,
1658228300061600000,-27.16735,-60.29142,22.56787,0.42588,-0.46930,0.28498,0.71914,
1658228302563067136,-35.57015,-59.31138,23.13269,0.06273,0.71823,0.06579,-0.68984,
1658228304961149952,-44.17811,-57.32794,23.14189,-0.31672,-0.62049,-0.33965,0.63192,
1658228307363267072,-52.24833,-53.68468,23.14253,0.54066,0.43787,0.55307,-0.45834,
1658228310060537344,-59.09060,-48.59138,23.14453,0.63647,0.28413,0.65075,-0.30115,
1658228312759800320,-64.52237,-42.27847,23.14861,0.71795,-0.05284,0.69201,0.05354,
1658228321464055040,-58.53767,-36.89729,22.97086,0.66661,0.36042,0.55028,-0.35061,
1658228331160545536,-54.88014,-29.72638,23.00863,-0.42845,-0.54739,-0.26639,0.66771,
